YearID,Player,Position,Amateur Type,Team Rank,Rank in Organization,Highest Level Played,WAR
2001,A.J. Pierzynski,Position Player,HS,15,18,MLB,11.4
2001,Aaron Harang,Pitcher,4Yr,11,27,A+,12.2
2002,Aaron Harang,Pitcher,4Yr,19,16,AA,17.0
2011,Adam Eaton,Position Player,4Yr,22,30,Rk,14.6
2012,Adam Eaton,Position Player,4Yr,4,12,AA,15.1
2009,Alex Avila,Position Player,4Yr,28,20,A,10.8
2005,Andre Ethier,Position Player,4Yr,8,16,A+,11.2
2011,Andrelton Simmons,Position Player,JC,2,15,Rk,12.8
2007,Asdrubal Cabrera,Position Player,INTL,10,15,AAA,12.2
2007,Austin Jackson,Position Player,HS,7,18,A,11.7
2005,Ben Zobrist,Position Player,4Yr,22,16,A-,12.1
2006,Ben Zobrist,Position Player,4Yr,20,16,A+,18.5
2003,Bill Hall,Position Player,HS,16,18,MLB,10.7
2014,Blake Snell,Pitcher,HS,20,14,A,11.1
2001,Brandon Webb,Pitcher,4Yr,29,27,A,16.8
2002,Brandon Webb,Pitcher,4Yr,23,26,A+,22.4
2006,Brett Gardner,Position Player,4Yr,17,13,A-,14.7
2009,Brett Gardner,Position Player,4Yr,15,13,MLB,20.6
2011,Brian Dozier,Position Player,4Yr,13,30,A+,16.4
2001,Brian Lawrence,Pitcher,4Yr,8,11,AAA,11.3
2003,Brian McCann,Position Player,HS,2,28,Rk,14.9
2006,C.J. Wilson,Pitcher,4Yr,16,14,MLB,11.2
2007,Carlos Ruiz,Position Player,INTL,21,13,MLB,14.4
2012,Charlie Blackmon,Position Player,4Yr,16,11,MLB,16.9
2004,Chien-Ming Wang,Pitcher,INTL,27,12,AA,10.4
2003,Chone Figgins,Position Player,HS,5,28,MLB,15.8
2004,Chris Young,Pitcher,4Yr,30,19,AA,12.1
2014,Cody Bellinger,Position Player,HS,14,14,Rk,15.4
2015,Cody Bellinger,Position Player,HS,3,20,Rk,16.6
2013,Collin McHugh,Pitcher,4Yr,26,24,MLB,11.4
2013,Corey Dickerson,Position Player,JC,20,13,AA,10.5
2011,Corey Kluber,Pitcher,4Yr,7,26,AAA,21.4
2002,Covelli Crisp,Position Player,JC,30,18,A+,15.2
2003,Covelli Crisp,Position Player,JC,1,26,MLB,16.8
2003,Curtis Granderson,Position Player,4Yr,12,18,A-,17.2
2011,Dallas Keuchel,Pitcher,4Yr,26,23,AA,12.0
2012,Dallas Keuchel,Pitcher,4Yr,17,21,AAA,14.2
2006,Dan Uggla,Position Player,4Yr,2,29,AA,20.3
2003,David Bush,Pitcher,4Yr,6,14,A+,10.1
2003,David DeJesus,Position Player,4Yr,26,19,AA,13.6
2013,Dellin Betances,Pitcher,HS,11,19,MLB,11.2
2014,Dellin Betances,Pitcher,HS,18,26,MLB,11.3
2005,Denard Span,Position Player,HS,4,14,A,10.0
2007,Denard Span,Position Player,HS,8,13,AA,15.1
2008,Denard Span,Position Player,HS,18,20,AAA,18.3
2002,Dontrelle Willis,Pitcher,HS,1,21,A-,20.8
2001,Erik Bedard,Pitcher,JC,27,19,A,10.5
2005,Freddy Sanchez,Position Player,4Yr,18,13,MLB,14.9
2006,Geovany Soto,Position Player,HS,15,16,MLB,12.6
